LoyaltyNumber,CustomerID,MembershipLevel,JoinDate,CurrentPoints,LifetimePointsEarned,LifetimePointsRedeemed
101002,1002,Bronze,2022-08-17,8209,41295,34297
101003,1003,Bronze,2023-02-15,7950,22267,57067
101004,1004,Silver,2025-08-17,2873,63538,58794
101005,1005,Bronze,2025-11-14,1060,44974,14734
101006,1006,Bronze,2026-02-17,3675,19772,18239
101007,1007,Silver,2025-06-30,1959,25913,23363
101008,1008,Silver,2024-05-08,9329,1699,55048
101009,1009,Gold,2025-01-08,8587,30033,48586
101010,1010,Bronze,2022-11-28,538,52331,41051
101011,1011,Bronze,2022-08-04,5398,66608,4403
101012,1012,Bronze,2025-11-09,8761,70581,57187
101013,1013,Bronze,2025-06-12,917,58641,37139
101014,1014,Silver,2022-08-02,4009,33663,52249
101015,1015,Gold,2024-04-14,4015,30028,45196
101016,1016,Gold,2025-10-21,2907,5373,39920
101017,1017,Bronze,2023-06-04,4546,12074,48700
101018,1018,Bronze,2026-01-01,1043,17473,34246
101019,1019,Bronze,2022-12-10,3403,29930,15986
101020,1020,Silver,2022-08-08,9523,62658,30426
101021,1021,Bronze,2022-08-04,836,41893,51774
101022,1022,Silver,2022-02-01,3218,62791,7628
101023,1023,Silver,2025-08-07,7799,25973,6545
101024,1024,Silver,2025-07-16,3522,78519,31931
101025,1025,Bronze,2023-02-02,157,76346,28164
101026,1026,Gold,2026-05-16,1827,58117,50947
101027,1027,Silver,2026-03-28,9649,59902,32
101028,1028,Bronze,2024-09-06,6671,78920,17743
101029,1029,Silver,2021-12-12,2892,43175,33245
101030,1030,Silver,2022-07-16,4649,39374,17314
101031,1031,Gold,2021-12-04,4079,44814,18041
101032,1032,Silver,2025-03-31,8242,40575,41020
101033,1033,Silver,2023-04-14,2984,64008,427
101034,1034,Bronze,2025-01-25,8348,61770,32491
101035,1035,Bronze,2024-09-14,1074,56725,44104
101036,1036,Bronze,2021-09-10,7261,44983,41804
101037,1037,Silver,2025-10-25,2992,25474,51038
101038,1038,Bronze,2024-05-04,3797,28046,20132
101039,1039,Silver,2025-06-02,5243,69620,30924
101040,1040,Bronze,2024-01-12,4916,79991,13781
101041,1041,Silver,2024-08-18,2532,42536,10249
101042,1042,Bronze,2022-11-10,6491,22615,55860
101043,1043,Bronze,2024-12-06,2574,42787,33847
101044,1044,Platinum,2024-05-23,9752,54745,51102
101045,1045,Gold,2021-12-16,3747,34552,30931
101046,1046,Platinum,2022-03-07,4974,48700,9501
101047,1047,Bronze,2023-09-22,5798,41433,29472
101048,1048,Bronze,2022-08-03,9228,51682,49983
101049,1049,Silver,2023-02-21,6620,7349,26790
101050,1050,Bronze,2025-03-06,2292,59985,50269
101051,1051,Bronze,2022-02-03,3313,27442,43388
101052,1052,Gold,2024-08-22,4829,49052,1551
101053,1053,Bronze,2022-05-04,6265,42788,36573
101054,1054,Silver,2026-01-11,3267,28277,40472
101055,1055,Silver,2024-04-29,4488,14103,4877
101056,1056,Bronze,2024-05-19,5332,62972,47268
101057,1057,Silver,2022-03-22,753,51226,45075
101058,1058,Platinum,2022-05-22,7979,32847,18359
101059,1059,Platinum,2022-04-16,9602,49254,3887
101060,1060,Bronze,2022-07-15,5614,36281,35251
101061,1061,Bronze,2022-04-08,4656,14653,30922
101062,1062,Bronze,2023-09-01,1212,42638,50806
101063,1063,Gold,2023-06-12,2486,19815,38653
101064,1064,Bronze,2023-05-26,3276,73741,5767
101065,1065,Silver,2024-11-14,5371,75169,35821
101066,1066,Gold,2023-02-15,4271,73064,34801
101067,1067,Gold,2024-07-15,358,18511,50600
101068,1068,Gold,2023-12-18,5143,47447,59316
101069,1069,Gold,2024-02-14,3519,24235,21054
101070,1070,Silver,2025-09-28,7549,47574,21824
101071,1071,Bronze,2024-12-30,4243,33570,39558
101072,1072,Gold,2023-12-23,379,18485,7811
101073,1073,Silver,2023-02-06,7001,52044,52826
101074,1074,Silver,2026-02-21,786,69358,3950
101075,1075,Platinum,2021-10-07,8392,49052,1061
101076,1076,Silver,2024-10-28,525,66188,57218
101077,1077,Gold,2021-11-26,8827,64588,18523
101078,1078,Silver,2022-04-23,1099,10002,37047
101079,1079,Bronze,2023-04-07,9147,14823,34849
101080,1080,Bronze,2022-07-29,8413,11598,37612
101081,1081,Platinum,2026-06-11,9994,25120,49277
101082,1082,Bronze,2026-06-14,7060,36389,30521
101083,1083,Silver,2022-09-08,2493,43410,4785
101084,1084,Bronze,2023-08-05,9424,44639,29756
101085,1085,Silver,2024-01-19,7084,2915,26310
101086,1086,Silver,2026-04-12,104,51211,1236
101087,1087,Bronze,2022-03-11,5281,56087,9862
101088,1088,Bronze,2025-06-20,3651,76695,44206
101089,1089,Gold,2026-08-03,8722,60098,42835
101090,1090,Silver,2022-10-19,9411,46584,58539
101091,1091,Gold,2024-03-10,9451,20102,12376
101092,1092,Gold,2023-07-28,3377,40533,11900
101093,1093,Bronze,2022-11-19,8739,78995,55358
101094,1094,Bronze,2022-03-13,2086,70888,22840
101095,1095,Platinum,2024-12-10,5365,41431,15080
101096,1096,Silver,2025-01-26,3304,39805,10701
101097,1097,Silver,2025-06-11,4441,30637,14236
101098,1098,Gold,2022-11-01,447,18097,57516
101099,1099,Gold,2021-10-02,7203,16236,54667
101100,1100,Platinum,2025-01-09,416,58289,56854
101101,1101,Gold,2024-10-14,3417,49961,3225
101102,1102,Silver,2024-09-11,6540,26135,13476
101103,1103,Gold,2025-11-12,9670,16438,6085
101104,1104,Platinum,2025-08-13,8301,75899,47482
101105,1105,Silver,2025-03-07,2668,27577,7887
101106,1106,Platinum,2026-02-10,9909,47074,49131
101107,1107,Platinum,2021-09-28,6801,25132,13784
101108,1108,Platinum,2022-06-21,8305,47267,31324
101109,1109,Bronze,2025-02-26,1834,59993,1058
101110,1110,Bronze,2023-04-14,6881,52569,56196
101111,1111,Bronze,2022-08-19,5904,40729,54823
101112,1112,Bronze,2023-03-13,4926,30162,45954
101113,1113,Bronze,2021-12-02,6384,61882,1038
101114,1114,Platinum,2024-05-19,4500,42471,2973
101115,1115,Bronze,2024-12-19,4079,23346,37000
101116,1116,Bronze,2021-08-15,8497,20515,9189
101117,1117,Silver,2022-01-22,638,8119,39072
101118,1118,Gold,2022-05-23,4801,48819,40472
101119,1119,Silver,2025-09-18,2580,55050,11299
101120,1120,Bronze,2024-02-14,8496,19941,48625
101121,1121,Gold,2024-08-11,2975,47950,57611
101122,1122,Platinum,2024-04-26,2660,4029,32607
101123,1123,Bronze,2026-03-22,6613,49013,59570
101124,1124,Gold,2024-08-15,5260,3832,51332
101125,1125,Bronze,2024-03-14,466,61769,2242
101126,1126,Gold,2024-05-24,2364,53532,3047
101127,1127,Silver,2021-11-01,9805,68939,11124
101128,1128,Bronze,2023-08-03,244,45800,58798
101129,1129,Bronze,2024-01-05,6879,8793,7366
101130,1130,Platinum,2025-09-22,7609,54504,56108
101131,1131,Gold,2022-08-10,7215,17716,56158
101132,1132,Silver,2025-12-07,11,40919,31211
101133,1133,Silver,2022-11-08,4208,16903,21160
101134,1134,Silver,2024-06-21,5989,12735,31312
101135,1135,Silver,2026-05-17,9359,25827,8246
101136,1136,Bronze,2024-02-24,2126,18790,14781
101137,1137,Silver,2026-05-20,1553,53031,18500
101138,1138,Gold,2022-04-30,1724,32839,14825
101139,1139,Bronze,2025-06-09,4933,43173,46560
101140,1140,Platinum,2025-10-09,9679,68246,33875
101141,1141,Silver,2025-03-14,4370,17363,21492
101142,1142,Silver,2023-12-20,2379,76038,48261
101143,1143,Platinum,2023-06-06,560,50566,41410
101144,1144,Bronze,2025-08-05,3242,23977,938
101145,1145,Bronze,2023-11-05,558,31272,10609
101146,1146,Bronze,2023-12-29,191,75084,31508
101147,1147,Silver,2026-04-18,5634,24708,41203
101148,1148,Gold,2023-03-10,9456,53270,29629
101149,1149,Platinum,2026-01-24,7425,34546,35774
101150,1150,Silver,2026-07-26,4576,67535,22108
101151,1151,Bronze,2026-04-12,3052,33560,22346
101152,1152,Gold,2022-01-30,7984,72045,29905
101153,1153,Silver,2025-12-17,5609,68135,17227
101154,1154,Bronze,2024-03-09,5987,56004,42093
101155,1155,Bronze,2025-09-15,8901,16644,6198
101156,1156,Bronze,2023-09-19,7494,14666,7882
101157,1157,Silver,2025-11-21,4844,16654,57233
101158,1158,Bronze,2023-12-08,7414,57268,36260
101159,1159,Platinum,2026-05-23,1359,66255,11967
101160,1160,Bronze,2022-11-28,8370,25643,9287
101161,1161,Gold,2025-04-25,3634,2291,13020
101162,1162,Gold,2023-03-28,5798,68988,39382
101163,1163,Gold,2022-03-19,9222,69641,34409
101164,1164,Bronze,2022-04-29,8735,47634,35353
101165,1165,Bronze,2022-09-29,8697,21956,24541
101166,1166,Bronze,2024-05-01,2713,29756,55262
101167,1167,Platinum,2024-11-18,2491,70986,39955
101168,1168,Silver,2025-03-16,3312,36593,3205
101169,1169,Platinum,2025-11-26,6567,38962,25544
101170,1170,Platinum,2026-03-09,6901,62561,30671
101171,1171,Bronze,2025-03-12,4915,146,4906
101172,1172,Bronze,2024-03-16,9105,40942,13680
101173,1173,Platinum,2022-11-25,9731,8857,3881
101174,1174,Gold,2026-05-08,2298,18947,31518
101175,1175,Gold,2025-06-20,3972,51380,51531
101176,1176,Bronze,2026-03-18,6865,51349,38759
101177,1177,Bronze,2024-12-06,5741,9344,14831
101178,1178,Platinum,2025-10-26,4525,18507,58499
101179,1179,Silver,2024-04-17,9599,20002,13489
101180,1180,Silver,2025-09-21,4513,43022,705
101181,1181,Silver,2025-11-30,8529,40884,34356
101182,1182,Bronze,2021-08-17,9804,61849,15216
101183,1183,Silver,2022-07-25,4895,16466,35471
101184,1184,Gold,2023-01-03,7444,20242,4613
101185,1185,Gold,2025-06-25,5593,35765,2685
101186,1186,Bronze,2024-12-12,4185,14889,41084
101187,1187,Silver,2024-02-05,9584,22179,57425
101188,1188,Gold,2023-01-13,7983,38255,14721
101189,1189,Silver,2023-10-28,1451,79177,39259
101190,1190,Gold,2025-05-06,3953,64919,54834
101191,1191,Gold,2023-10-11,7085,55369,3712
101192,1192,Silver,2025-12-09,4590,36258,59292
101193,1193,Bronze,2026-07-22,8320,43200,27501
101194,1194,Silver,2024-01-12,4116,46848,5445
101195,1195,Bronze,2022-03-23,7955,31916,38389
101196,1196,Silver,2021-12-29,9684,56954,43622
101197,1197,Bronze,2026-08-04,7993,73588,39756
101198,1198,Gold,2022-10-05,6157,79611,34011
101199,1199,Gold,2024-07-07,6268,5618,39430
101200,1200,Bronze,2023-08-23,1615,75548,6220
101201,1201,Bronze,2022-09-22,3909,47377,38018
101202,1202,Silver,2025-10-14,9892,55390,53430
101203,1203,Bronze,2023-10-01,653,45621,42407
101204,1204,Gold,2024-08-25,7548,75249,56584
101205,1205,Silver,2021-09-11,6532,56696,43848
101206,1206,Platinum,2026-05-17,3539,74408,11844
101207,1207,Bronze,2021-08-18,5389,13050,19154
101208,1208,Platinum,2021-08-28,464,59950,55668
101209,1209,Gold,2025-09-24,5875,45195,23093
101210,1210,Platinum,2022-10-12,4074,36358,29229
101211,1211,Gold,2025-10-22,5316,60157,45816
101212,1212,Platinum,2023-05-02,4311,21149,13721
101213,1213,Silver,2022-06-02,8966,42289,48542
101214,1214,Silver,2026-04-05,5710,22651,55359
101215,1215,Silver,2022-12-25,1456,43847,23055
101216,1216,Silver,2021-10-04,3728,41588,54308
101217,1217,Bronze,2022-10-30,1481,53323,20507
101218,1218,Silver,2022-03-30,3050,50260,13248
101219,1219,Bronze,2022-09-28,7953,46053,22085
101220,1220,Gold,2026-01-25,5922,20968,11045
101221,1221,Bronze,2022-08-06,1826,24976,38131
101222,1222,Bronze,2026-01-13,8292,73563,19412
101223,1223,Gold,2023-11-05,8818,23418,26081
101224,1224,Silver,2024-09-10,1244,26133,6118
101225,1225,Bronze,2023-11-04,9797,53136,55850
101226,1226,Bronze,2025-03-02,5573,69938,23186
101227,1227,Bronze,2023-02-23,6311,13682,55378
101228,1228,Platinum,2026-01-15,4815,74825,5387
101229,1229,Bronze,2021-10-30,3683,58104,54141
101230,1230,Bronze,2024-12-13,8978,20417,43746
101231,1231,Platinum,2024-11-03,431,64914,14710
101232,1232,Gold,2026-07-11,3587,32258,57352
101233,1233,Bronze,2025-03-27,3538,19154,813
101234,1234,Bronze,2025-09-10,340,63443,54914
101235,1235,Silver,2026-04-12,9114,72350,37230
101236,1236,Bronze,2025-12-14,3048,68070,38069
101237,1237,Bronze,2026-05-13,9428,50838,48941
101238,1238,Bronze,2023-04-13,5963,34644,28266
101239,1239,Bronze,2022-03-20,3845,42063,35413
101240,1240,Bronze,2022-12-10,2203,42260,56357
101241,1241,Gold,2023-11-16,4045,70652,37942
101242,1242,Bronze,2023-02-15,8314,62455,35085
101243,1243,Bronze,2026-07-24,9897,29961,47192
101244,1244,Bronze,2026-06-13,9077,29455,30493
101245,1245,Bronze,2023-10-02,871,60424,40554
101246,1246,Silver,2021-12-10,9683,57271,4237
101247,1247,Platinum,2024-02-25,2807,2998,36697
101248,1248,Silver,2025-02-11,942,45661,31236
101249,1249,Gold,2022-12-27,2422,8459,44696
101250,1250,Bronze,2022-03-22,4523,74778,16515
101251,1251,Platinum,2021-09-12,451,78446,32165
101252,1252,Silver,2024-06-30,2184,52036,14103
101253,1253,Silver,2022-01-16,5076,70668,45692
101254,1254,Silver,2023-09-17,5415,30582,37346
101255,1255,Gold,2023-04-24,8322,53464,9452
101256,1256,Gold,2021-12-30,9615,41316,56540
101257,1257,Bronze,2025-08-01,9987,7043,46669
101258,1258,Gold,2024-01-06,9624,15787,50765
101259,1259,Platinum,2024-11-19,1042,69538,27112
101260,1260,Gold,2023-04-27,3188,32710,39421
101261,1261,Gold,2024-11-14,2938,23855,1932
101262,1262,Silver,2021-11-03,8109,15763,21744
101263,1263,Bronze,2022-10-26,6611,75335,45936
101264,1264,Platinum,2022-05-13,6347,53521,24988
101265,1265,Silver,2026-01-13,2269,45096,11992
101266,1266,Bronze,2022-10-24,5818,23353,46351
101267,1267,Silver,2025-12-16,4128,65594,5946
101268,1268,Bronze,2021-11-10,6576,26393,14853
101269,1269,Bronze,2022-06-21,1336,44627,29604
101270,1270,Gold,2024-12-09,8583,33886,1336
101271,1271,Gold,2024-05-13,997,73123,3876
101272,1272,Silver,2024-09-12,1564,22187,113
101273,1273,Platinum,2026-02-15,8669,1748,305
101274,1274,Bronze,2021-10-25,5017,3724,52431
101275,1275,Platinum,2022-08-22,9230,49230,56318
101276,1276,Bronze,2023-03-21,2824,24804,41712
101277,1277,Silver,2024-07-31,2978,70251,14311
101278,1278,Platinum,2024-09-03,1588,20373,39303
101279,1279,Bronze,2024-06-23,2898,57863,46292
101280,1280,Gold,2023-06-28,2908,66596,9755
101281,1281,Gold,2022-01-28,7292,4076,40768
101282,1282,Bronze,2025-10-28,8807,15865,52900
101283,1283,Platinum,2026-03-21,4774,14226,22875
101284,1284,Silver,2021-09-23,9668,68059,10969
101285,1285,Platinum,2022-01-12,8153,25417,39551
101286,1286,Bronze,2021-09-29,5527,59694,43154
101287,1287,Silver,2021-12-30,6370,58811,7627
101288,1288,Silver,2026-05-23,1072,44447,16136
101289,1289,Bronze,2022-07-28,3923,64425,12343
101290,1290,Gold,2025-02-28,681,47065,3841
101291,1291,Platinum,2022-09-28,7871,77581,6473
101292,1292,Gold,2025-04-08,1490,42115,59760
101293,1293,Silver,2022-05-15,9422,69820,34188
101294,1294,Bronze,2023-10-21,8951,26436,18517
101295,1295,Bronze,2024-08-29,7338,26057,19199
101296,1296,Platinum,2024-11-29,6984,53084,28517
101297,1297,Bronze,2023-10-20,8035,3223,32193
101298,1298,Bronze,2022-11-14,9195,63552,39954
101299,1299,Bronze,2024-01-27,8152,37743,50517
101300,1300,Silver,2026-07-27,903,69247,54477
101301,1301,Bronze,2024-08-11,1461,40354,58464
101302,1302,Silver,2024-01-16,9359,71244,11361
101303,1303,Silver,2023-03-30,785,70130,1832
101304,1304,Bronze,2022-04-22,4963,50549,12336
101305,1305,Bronze,2026-04-01,8810,6972,53985
101306,1306,Gold,2021-09-09,7107,66733,34339
101307,1307,Gold,2026-06-21,8335,48704,44638
101308,1308,Silver,2025-01-29,3514,13030,29965
101309,1309,Platinum,2021-10-06,3630,42083,4781
101310,1310,Gold,2026-06-03,8114,27197,37430
101311,1311,Silver,2024-03-18,255,6028,25001
101312,1312,Bronze,2022-10-04,1905,38168,310
101313,1313,Platinum,2022-11-17,5419,23307,25553
101314,1314,Gold,2025-10-31,6091,52785,2933
101315,1315,Bronze,2023-12-02,9809,32366,40747
101316,1316,Silver,2023-12-09,6927,74881,46541
101317,1317,Gold,2025-05-15,5074,26953,57585
101318,1318,Silver,2025-02-19,4466,53735,45238
101319,1319,Bronze,2021-09-02,6777,49531,18224
101320,1320,Gold,2024-01-04,3104,64091,16608
101321,1321,Silver,2024-06-17,6479,5578,45613
101322,1322,Gold,2023-02-06,2111,29325,4621
101323,1323,Silver,2023-03-16,1888,20930,59127
101324,1324,Gold,2024-07-13,1089,24133,35188
101325,1325,Bronze,2021-08-07,4202,52293,18665
101326,1326,Silver,2021-08-16,4664,74825,17137
101327,1327,Bronze,2025-03-01,1956,51861,53928
101328,1328,Gold,2026-04-27,3311,11438,36356
101329,1329,Gold,2026-02-26,3289,16761,33962
101330,1330,Platinum,2023-04-09,7683,62859,7165
101331,1331,Bronze,2022-07-23,623,50964,12089
101332,1332,Bronze,2026-05-21,1104,31786,28570
101333,1333,Silver,2026-02-27,7177,18811,28968
101334,1334,Silver,2023-07-18,672,66110,50252
101335,1335,Platinum,2023-07-02,3447,41770,2867
101336,1336,Silver,2025-11-19,2502,44841,56327
101337,1337,Platinum,2025-04-17,2875,45990,30279
101338,1338,Bronze,2023-10-04,924,51390,24905
101339,1339,Bronze,2025-08-05,4780,66369,4171
101340,1340,Bronze,2026-03-27,3184,44125,43123
101341,1341,Gold,2026-08-01,414,57841,4547
101342,1342,Gold,2022-08-24,9857,69378,18861
101343,1343,Silver,2021-08-29,2348,71812,20811
101344,1344,Bronze,2023-03-12,1067,53829,33950
101345,1345,Silver,2024-08-28,2783,42260,24272
101346,1346,Bronze,2023-05-18,1700,30726,386
101347,1347,Bronze,2024-11-16,9219,7756,53327
101348,1348,Bronze,2024-08-20,9288,15781,56164
101349,1349,Bronze,2024-02-07,576,73977,35755
101350,1350,Bronze,2022-05-18,7805,75006,42256
101351,1351,Bronze,2023-02-13,6336,59039,59653
101352,1352,Gold,2024-10-26,8037,32873,22619
101353,1353,Platinum,2023-03-22,7454,62900,58889
101354,1354,Bronze,2022-05-12,8789,47303,14669
101355,1355,Bronze,2021-10-05,2856,51015,16856
101356,1356,Gold,2021-12-19,6030,2844,28294
101357,1357,Gold,2025-04-22,2359,5677,30142
101358,1358,Silver,2025-04-29,8871,29851,26360
101359,1359,Bronze,2026-01-05,5782,27376,26594
101360,1360,Silver,2025-07-29,6844,60469,48067
101361,1361,Silver,2024-11-13,6364,60854,23826
101362,1362,Bronze,2023-12-07,6535,17547,47402
101363,1363,Silver,2024-05-22,4030,28537,46700
101364,1364,Bronze,2025-12-01,3188,47733,59005
101365,1365,Silver,2026-04-17,6688,49227,42205
101366,1366,Bronze,2023-04-19,6436,18624,30817
101367,1367,Bronze,2024-08-28,7410,39463,59288
101368,1368,Gold,2024-05-25,6752,6769,13068
101369,1369,Bronze,2024-11-02,9038,20641,43230
101370,1370,Bronze,2024-12-20,8478,56694,11817
101371,1371,Platinum,2023-08-13,390,27160,25294
101372,1372,Silver,2022-09-01,2823,35924,48888
101373,1373,Silver,2024-02-27,2553,52774,37687
101374,1374,Gold,2022-06-05,3240,19850,26954
101375,1375,Bronze,2025-07-11,4025,17212,49979
101376,1376,Platinum,2024-07-08,5180,69645,48189
101377,1377,Silver,2024-10-21,578,12822,51574
101378,1378,Bronze,2024-02-28,351,1236,56508
101379,1379,Gold,2023-10-14,5431,11889,20532
101380,1380,Platinum,2025-03-25,5844,26708,48731
101381,1381,Bronze,2022-11-10,3489,40412,55094
101382,1382,Bronze,2024-11-07,5169,76573,59278
101383,1383,Gold,2023-01-10,7783,44483,46111
101384,1384,Bronze,2026-01-14,4968,13403,52581
101385,1385,Silver,2025-06-24,2490,21498,27209
101386,1386,Bronze,2026-07-13,6712,20846,36809
101387,1387,Silver,2025-12-16,7693,36961,45217
101388,1388,Gold,2026-03-27,4086,14958,43507
101389,1389,Platinum,2022-03-24,7289,12823,49523
101390,1390,Bronze,2023-11-13,6241,62072,24862
101391,1391,Silver,2022-12-30,326,76931,45096
101392,1392,Platinum,2024-08-16,5937,57894,38331
101393,1393,Silver,2025-08-06,7329,2702,32228
101394,1394,Platinum,2023-10-14,9286,45166,58038
101395,1395,Bronze,2023-06-13,1392,48592,4514
101396,1396,Bronze,2024-07-02,4916,51692,9796
101397,1397,Bronze,2025-10-19,3229,42134,19159
101398,1398,Gold,2022-10-28,1361,46592,39505
101399,1399,Platinum,2023-04-28,8105,2191,40754
101400,1400,Gold,2023-02-08,6844,22259,23934
101401,1401,Gold,2024-05-13,3146,67395,18366
101402,1402,Platinum,2026-05-24,384,64274,20877
101403,1403,Platinum,2024-05-30,852,31400,45908
101404,1404,Bronze,2022-03-01,7355,56847,22119
101405,1405,Bronze,2024-05-15,7505,10617,21818
101406,1406,Silver,2022-01-02,2140,1499,48145
101407,1407,Silver,2023-06-24,4959,49995,13083
101408,1408,Platinum,2025-06-12,6226,51007,2358
101409,1409,Silver,2024-05-22,4428,49270,21996
101410,1410,Bronze,2024-03-18,8398,55741,26685
101411,1411,Gold,2024-05-05,2168,45482,47128
101412,1412,Bronze,2022-02-06,3160,64171,18457
101413,1413,Bronze,2024-11-20,7370,11214,52787
101414,1414,Silver,2021-11-30,5220,66788,58708
101415,1415,Bronze,2025-05-06,2105,14131,15922
101416,1416,Bronze,2024-12-24,6117,8614,10092
101417,1417,Silver,2024-01-31,3882,11553,56602
101418,1418,Bronze,2022-06-28,220,44813,57026
101419,1419,Platinum,2024-01-19,1153,20579,38191
101420,1420,Silver,2025-03-13,7549,43471,51519
101421,1421,Silver,2024-09-15,1998,7461,46147
101422,1422,Bronze,2023-11-29,1329,24423,6009
101423,1423,Gold,2026-02-08,1500,603,28375
101424,1424,Gold,2025-03-18,3818,27653,3276
101425,1425,Gold,2022-02-04,6338,42096,40989
101426,1426,Silver,2024-05-27,7799,25960,46415
101427,1427,Platinum,2026-04-08,9919,24487,30750
101428,1428,Bronze,2024-05-29,9696,8130,29000
101429,1429,Bronze,2025-11-21,103,10527,11524
101430,1430,Platinum,2025-02-12,4313,18960,57552
101431,1431,Silver,2026-05-23,3102,16354,46063
101432,1432,Gold,2025-03-30,3083,24616,55614
101433,1433,Bronze,2024-06-30,3730,21389,25864
101434,1434,Silver,2024-07-27,9704,38991,39423
101435,1435,Silver,2022-06-10,4676,28707,27952
101436,1436,Bronze,2026-04-18,5648,31658,34770
101437,1437,Bronze,2023-02-05,4123,36990,49433
101438,1438,Bronze,2022-03-11,1009,8329,32369
101439,1439,Bronze,2023-05-06,989,56473,5239
101440,1440,Silver,2021-10-02,7306,1672,48776
101441,1441,Silver,2023-09-09,5216,77188,50553
101442,1442,Platinum,2025-06-13,5922,79464,44446
101443,1443,Platinum,2023-10-25,9325,34498,47654
101444,1444,Gold,2025-10-22,7385,47038,48640
101445,1445,Gold,2023-07-22,6069,65596,19676
101446,1446,Gold,2023-05-16,5135,71654,48822
101447,1447,Bronze,2022-06-19,9621,22454,2798
101448,1448,Silver,2022-04-24,6713,61041,57670
101449,1449,Silver,2022-04-18,6606,60868,56929
101450,1450,Gold,2022-06-26,7408,20112,9311
101451,1451,Gold,2024-05-03,6317,55097,1604
101452,1452,Gold,2026-03-14,5189,50098,57032
101453,1453,Silver,2025-12-03,6544,48034,914
101454,1454,Silver,2021-12-08,2830,19896,38858
101455,1455,Platinum,2026-04-02,3555,12531,1074
101456,1456,Bronze,2025-11-15,2455,35606,22106
101457,1457,Bronze,2025-02-16,8148,51510,10375
101458,1458,Bronze,2022-10-31,9000,36494,14925
101459,1459,Bronze,2025-08-11,9942,65522,28367
101460,1460,Silver,2024-06-25,2618,63976,43633
101461,1461,Bronze,2026-05-09,1736,8869,21186
101462,1462,Gold,2025-01-16,9958,38021,9271
101463,1463,Bronze,2025-10-16,8097,28464,27285
101464,1464,Silver,2023-03-19,5046,20888,22189
101465,1465,Silver,2022-11-12,7028,16070,39263
101466,1466,Bronze,2023-01-31,4618,44808,47497
101467,1467,Bronze,2022-04-09,2099,48539,37049
101468,1468,Platinum,2023-05-20,1034,2421,29299
101469,1469,Bronze,2022-07-30,4032,27553,21377
101470,1470,Silver,2022-01-23,5120,62514,51564
101471,1471,Bronze,2021-08-11,5582,75757,52023
101472,1472,Bronze,2024-09-24,3184,16763,21091
101473,1473,Gold,2022-02-07,9376,30105,46406
101474,1474,Silver,2023-08-20,3883,32749,32020
101475,1475,Silver,2026-04-08,317,41185,33486
101476,1476,Gold,2024-08-12,6293,19545,40868
101477,1477,Bronze,2023-01-16,8670,64448,30322
101478,1478,Silver,2024-09-15,4358,8872,29457
101479,1479,Bronze,2022-11-02,3165,36303,46655
101480,1480,Bronze,2026-03-24,967,62194,16160
101481,1481,Bronze,2025-12-28,50,42988,23341
101482,1482,Gold,2022-09-02,7906,73746,9576
101483,1483,Gold,2024-09-16,5243,63630,20589
101484,1484,Silver,2022-07-06,8786,26322,54010
101485,1485,Gold,2025-08-11,3083,78426,39654
101486,1486,Bronze,2025-12-12,992,25651,34308
101487,1487,Gold,2022-09-11,4627,32635,51819
101488,1488,Bronze,2022-12-23,178,39182,17104
101489,1489,Bronze,2026-06-19,4851,3413,1888
101490,1490,Silver,2023-08-08,6904,10416,24158
101491,1491,Silver,2025-08-09,2418,58647,41018
101492,1492,Bronze,2026-05-04,2571,77936,29107
101493,1493,Gold,2024-09-26,1765,35955,29880
101494,1494,Bronze,2023-06-29,9937,59519,18662
101495,1495,Bronze,2026-06-05,2105,42410,1111
101496,1496,Bronze,2021-11-24,5349,72527,31267
101497,1497,Bronze,2022-09-10,5165,49255,36053
101498,1498,Bronze,2024-05-13,7114,42552,25921
101499,1499,Bronze,2023-11-17,565,37181,21234
101500,1500,Silver,2021-09-12,9314,5261,57885
101501,1501,Silver,2024-07-22,2160,65200,4186
101502,1502,Platinum,2023-10-23,2292,19966,6701
101503,1503,Silver,2024-12-15,3850,12140,49457
101504,1504,Bronze,2024-06-19,5850,44423,5318
101505,1505,Silver,2023-10-13,1139,64647,26251
101506,1506,Silver,2022-08-20,8596,54672,42062
101507,1507,Gold,2023-09-09,2539,71940,53926
101508,1508,Bronze,2024-06-03,3395,58885,10424
101509,1509,Bronze,2023-06-18,4272,29905,15680
101510,1510,Bronze,2023-04-23,9137,3275,3439
101511,1511,Silver,2023-07-03,3694,62843,2778
101512,1512,Bronze,2023-01-07,3811,20105,57047
101513,1513,Bronze,2023-05-17,5234,42429,25396
101514,1514,Gold,2024-02-10,6484,2623,33439
101515,1515,Gold,2026-01-10,8064,3181,43885
101516,1516,Gold,2024-12-27,6798,72193,4453
101517,1517,Bronze,2024-03-02,9661,4819,13686
101518,1518,Bronze,2021-09-19,8052,1037,22897
101519,1519,Gold,2023-01-21,9528,48349,33367
101520,1520,Gold,2023-07-14,2689,52159,13944
101521,1521,Bronze,2026-03-01,120,36985,17409
101522,1522,Silver,2024-11-13,8370,51010,10476
101523,1523,Gold,2026-02-05,9955,33690,21920
101524,1524,Bronze,2023-04-28,4265,51563,7809
101525,1525,Silver,2021-11-01,7399,3877,29199
101526,1526,Silver,2022-03-30,8385,53274,13408
101527,1527,Bronze,2026-03-27,682,50884,52732
101528,1528,Bronze,2022-02-02,3368,26333,49791
101529,1529,Silver,2024-11-10,4892,28194,58107
